Município;Pluviometria observada (mm);Data
Água Branca;87,6;03/2010
Aguiar;99,2;03/2010
Alagoa Grande;63,2;03/2010
Alagoa Nova;40,7;03/2010
Alagoinha;115,7;03/2010
Alcantil;15,3;03/2010
Algodão de Jandaíra;16,3;03/2010
Alhandra;71,4;03/2010
Amparo;20,7;03/2010
Aparecida;83,6;03/2010
Araçagi;5,5;03/2010
Arara;20,2;03/2010
Araruna;47,4;03/2010
Areia;97,8;03/2010
Areial;34,8;03/2010
Aroeiras;73,1;03/2010
Assunção;147,0;03/2010
Baía da Traição;46,8;03/2010
Bananeiras;95,4;03/2010
Baraúna;69,8;03/2010
Barra de Santana;22,7;03/2010
Barra de Santa Rosa;6,8;03/2010
Barra de São Miguel;21,3;03/2010
Bayeux;60,0;03/2010
Belém;58,9;03/2010
Belém do Brejo do Cruz;74,4;03/2010
Bernardino Batista;79,2;03/2010
Boa Ventura;96,2;03/2010
Boa Vista;3,4;03/2010
Bom Jesus;51,2;03/2010
Bom Sucesso;29,7;03/2010
Bonito de Santa Fé;80,6;03/2010
Boqueirão;16,9;03/2010
Borborema;74,4;03/2010
Brejo do Cruz;59,5;03/2010
Brejo dos Santos;51,9;03/2010
Caaporã;66,4;03/2010
Cabaceiras;32,4;03/2010
Cabedelo;35,9;03/2010
Cachoeira dos Índios;96,2;03/2010
Cacimba de Areia;100,4;03/2010
Cacimba de Dentro;35,5;03/2010
Cacimbas;181,0;03/2010
Caiçara;57,5;03/2010
Cajazeiras;94,6;03/2010
Cajazeirinhas;56,6;03/2010
Caldas Brandão;35,6;03/2010
Camalaú;39,0;03/2010
Campina Grande;12,5;03/2010
Capim;49,9;03/2010
Caraúbas;105,4;03/2010
Carrapateira;102,0;03/2010
Casserengue;19,0;03/2010
Catingueira;67,0;03/2010
Catolé do Rocha;80,4;03/2010
Caturité;18,5;03/2010
Conceição;61,5;03/2010
Condado;71,9;03/2010
Congo;187,7;03/2010
Coremas;72,2;03/2010
Coxixola;66,2;03/2010
Cruz do Espírito Santo;25,2;03/2010
Cubati;82,9;03/2010
Cuité;45,9;03/2010
Curral de Cima;24,3;03/2010
Curral Velho;57,8;03/2010
Damião;5,6;03/2010
Desterro;117,7;03/2010
Diamante;60,1;03/2010
Dona Inês;41,5;03/2010
Duas Estradas;27,0;03/2010
Emas;89,9;03/2010
Esperança;50,4;03/2010
Fagundes;46,2;03/2010
Frei Martinho;31,2;03/2010
Gado Bravo;25,2;03/2010
Guarabira;7,7;03/2010
Gurinhém;16,6;03/2010
Gurjão;114,7;03/2010
Ibiara;14,5;03/2010
Igaracy;57,2;03/2010
Imaculada;63,3;03/2010
Ingá;86,7;03/2010
Itabaiana;16,5;03/2010
Itaporanga;84,1;03/2010
Itapororoca;3,0;03/2010
Itatuba;66,2;03/2010
Jacaraú;18,2;03/2010
Jericó;89,6;03/2010
João Pessoa;31,7;03/2010
Joca Claudino;77,3;03/2010
Juarez Távora;101,4;03/2010
Juazeirinho;128,0;03/2010
